coverage_id	pool_id	peptide_id
coverage_1	pool_1	peptide_27
coverage_1	pool_1	peptide_57
coverage_1	pool_1	peptide_68
coverage_1	pool_1	peptide_99
coverage_1	pool_1	peptide_120
coverage_1	pool_2	peptide_45
coverage_1	pool_2	peptide_56
coverage_1	pool_2	peptide_60
coverage_1	pool_2	peptide_69
coverage_1	pool_2	peptide_102
coverage_1	pool_3	peptide_80
coverage_1	pool_3	peptide_116
coverage_1	pool_3	peptide_123
coverage_1	pool_3	peptide_125
coverage_1	pool_3	peptide_131
coverage_1	pool_4	peptide_28
coverage_1	pool_4	peptide_38
coverage_1	pool_4	peptide_40
coverage_1	pool_4	peptide_42
coverage_1	pool_4	peptide_128
coverage_1	pool_5	peptide_78
coverage_1	pool_5	peptide_85
coverage_1	pool_5	peptide_103
coverage_1	pool_5	peptide_114
coverage_1	pool_5	peptide_115
coverage_1	pool_6	peptide_16
coverage_1	pool_6	peptide_44
coverage_1	pool_6	peptide_46
coverage_1	pool_6	peptide_51
coverage_1	pool_6	peptide_87
coverage_1	pool_7	peptide_72
coverage_1	pool_7	peptide_74
coverage_1	pool_7	peptide_92
coverage_1	pool_7	peptide_95
coverage_1	pool_7	peptide_140
coverage_1	pool_8	peptide_1
coverage_1	pool_8	peptide_5
coverage_1	pool_8	peptide_6
coverage_1	pool_8	peptide_7
coverage_1	pool_8	peptide_106
coverage_1	pool_9	peptide_13
coverage_1	pool_9	peptide_23
coverage_1	pool_9	peptide_25
coverage_1	pool_9	peptide_26
coverage_1	pool_9	peptide_32
coverage_1	pool_10	peptide_14
coverage_1	pool_10	peptide_48
coverage_1	pool_10	peptide_62
coverage_1	pool_10	peptide_64
coverage_1	pool_10	peptide_113
coverage_1	pool_11	peptide_35
coverage_1	pool_11	peptide_82
coverage_1	pool_11	peptide_110
coverage_1	pool_11	peptide_118
coverage_1	pool_11	peptide_129
coverage_1	pool_12	peptide_24
coverage_1	pool_12	peptide_30
coverage_1	pool_12	peptide_43
coverage_1	pool_12	peptide_52
coverage_1	pool_12	peptide_84
coverage_1	pool_13	peptide_21
coverage_1	pool_13	peptide_33
coverage_1	pool_13	peptide_88
coverage_1	pool_13	peptide_96
coverage_1	pool_13	peptide_134
coverage_1	pool_14	peptide_4
coverage_1	pool_14	peptide_55
coverage_1	pool_14	peptide_58
coverage_1	pool_14	peptide_112
coverage_1	pool_14	peptide_122
coverage_1	pool_15	peptide_37
coverage_1	pool_15	peptide_47
coverage_1	pool_15	peptide_109
coverage_1	pool_15	peptide_111
coverage_1	pool_15	peptide_137
coverage_1	pool_16	peptide_61
coverage_1	pool_16	peptide_63
coverage_1	pool_16	peptide_75
coverage_1	pool_16	peptide_100
coverage_1	pool_16	peptide_132
coverage_1	pool_17	peptide_3
coverage_1	pool_17	peptide_34
coverage_1	pool_17	peptide_36
coverage_1	pool_17	peptide_41
coverage_1	pool_17	peptide_66
coverage_1	pool_18	peptide_54
coverage_1	pool_18	peptide_107
coverage_1	pool_18	peptide_121
coverage_1	pool_18	peptide_127
coverage_1	pool_18	peptide_130
coverage_1	pool_19	peptide_22
coverage_1	pool_19	peptide_77
coverage_1	pool_19	peptide_86
coverage_1	pool_19	peptide_93
coverage_1	pool_19	peptide_135
coverage_1	pool_20	peptide_11
coverage_1	pool_20	peptide_15
coverage_1	pool_20	peptide_29
coverage_1	pool_20	peptide_71
coverage_1	pool_20	peptide_101
coverage_1	pool_21	peptide_20
coverage_1	pool_21	peptide_53
coverage_1	pool_21	peptide_79
coverage_1	pool_21	peptide_91
coverage_1	pool_21	peptide_104
coverage_1	pool_22	peptide_9
coverage_1	pool_22	peptide_12
coverage_1	pool_22	peptide_31
coverage_1	pool_22	peptide_59
coverage_1	pool_22	peptide_76
coverage_1	pool_23	peptide_65
coverage_1	pool_23	peptide_70
coverage_1	pool_23	peptide_73
coverage_1	pool_23	peptide_81
coverage_1	pool_23	peptide_138
coverage_1	pool_24	peptide_50
coverage_1	pool_24	peptide_67
coverage_1	pool_24	peptide_108
coverage_1	pool_24	peptide_117
coverage_1	pool_24	peptide_139
coverage_1	pool_25	peptide_83
coverage_1	pool_25	peptide_119
coverage_1	pool_25	peptide_124
coverage_1	pool_25	peptide_126
coverage_1	pool_25	peptide_133
coverage_1	pool_26	peptide_49
coverage_1	pool_26	peptide_90
coverage_1	pool_26	peptide_94
coverage_1	pool_26	peptide_98
coverage_1	pool_26	peptide_105
coverage_1	pool_27	peptide_17
coverage_1	pool_27	peptide_18
coverage_1	pool_27	peptide_19
coverage_1	pool_27	peptide_39
coverage_1	pool_27	peptide_136
coverage_1	pool_28	peptide_2
coverage_1	pool_28	peptide_8
coverage_1	pool_28	peptide_10
coverage_1	pool_28	peptide_89
coverage_1	pool_28	peptide_97
coverage_2	pool_29	peptide_27
coverage_2	pool_29	peptide_37
coverage_2	pool_29	peptide_56
coverage_2	pool_29	peptide_58
coverage_2	pool_29	peptide_84
coverage_2	pool_30	peptide_31
coverage_2	pool_30	peptide_45
coverage_2	pool_30	peptide_51
coverage_2	pool_30	peptide_72
coverage_2	pool_30	peptide_133
coverage_2	pool_31	peptide_116
coverage_2	pool_31	peptide_118
coverage_2	pool_31	peptide_120
coverage_2	pool_31	peptide_122
coverage_2	pool_31	peptide_124
coverage_2	pool_32	peptide_28
coverage_2	pool_32	peptide_53
coverage_2	pool_32	peptide_93
coverage_2	pool_32	peptide_123
coverage_2	pool_32	peptide_132
coverage_2	pool_33	peptide_78
coverage_2	pool_33	peptide_80
coverage_2	pool_33	peptide_90
coverage_2	pool_33	peptide_91
coverage_2	pool_33	peptide_107
coverage_2	pool_34	peptide_46
coverage_2	pool_34	peptide_62
coverage_2	pool_34	peptide_89
coverage_2	pool_34	peptide_100
coverage_2	pool_34	peptide_127
coverage_2	pool_35	peptide_25
coverage_2	pool_35	peptide_57
coverage_2	pool_35	peptide_74
coverage_2	pool_35	peptide_108
coverage_2	pool_35	peptide_112
coverage_2	pool_36	peptide_1
coverage_2	pool_36	peptide_18
coverage_2	pool_36	peptide_55
coverage_2	pool_36	peptide_73
coverage_2	pool_36	peptide_88
coverage_2	pool_37	peptide_6
coverage_2	pool_37	peptide_13
coverage_2	pool_37	peptide_35
coverage_2	pool_37	peptide_85
coverage_2	pool_37	peptide_121
coverage_2	pool_38	peptide_14
coverage_2	pool_38	peptide_40
coverage_2	pool_38	peptide_50
coverage_2	pool_38	peptide_54
coverage_2	pool_38	peptide_99
coverage_2	pool_39	peptide_29
coverage_2	pool_39	peptide_70
coverage_2	pool_39	peptide_82
coverage_2	pool_39	peptide_95
coverage_2	pool_39	peptide_103
coverage_2	pool_40	peptide_23
coverage_2	pool_40	peptide_24
coverage_2	pool_40	peptide_104
coverage_2	pool_40	peptide_106
coverage_2	pool_40	peptide_117
coverage_2	pool_41	peptide_17
coverage_2	pool_41	peptide_33
coverage_2	pool_41	peptide_41
coverage_2	pool_41	peptide_49
coverage_2	pool_41	peptide_131
coverage_2	pool_42	peptide_4
coverage_2	pool_42	peptide_32
coverage_2	pool_42	peptide_34
coverage_2	pool_42	peptide_81
coverage_2	pool_42	peptide_92
coverage_2	pool_43	peptide_61
coverage_2	pool_43	peptide_102
coverage_2	pool_43	peptide_109
coverage_2	pool_43	peptide_134
coverage_2	pool_43	peptide_136
coverage_2	pool_44	peptide_16
coverage_2	pool_44	peptide_43
coverage_2	pool_44	peptide_67
coverage_2	pool_44	peptide_71
coverage_2	pool_44	peptide_75
coverage_2	pool_45	peptide_3
coverage_2	pool_45	peptide_19
coverage_2	pool_45	peptide_94
coverage_2	pool_45	peptide_96
coverage_2	pool_45	peptide_113
coverage_2	pool_46	peptide_12
coverage_2	pool_46	peptide_66
coverage_2	pool_46	peptide_111
coverage_2	pool_46	peptide_125
coverage_2	pool_46	peptide_128
coverage_2	pool_47	peptide_64
coverage_2	pool_47	peptide_68
coverage_2	pool_47	peptide_97
coverage_2	pool_47	peptide_115
coverage_2	pool_47	peptide_140
coverage_2	pool_48	peptide_11
coverage_2	pool_48	peptide_36
coverage_2	pool_48	peptide_38
coverage_2	pool_48	peptide_47
coverage_2	pool_48	peptide_98
coverage_2	pool_49	peptide_5
coverage_2	pool_49	peptide_20
coverage_2	pool_49	peptide_30
coverage_2	pool_49	peptide_59
coverage_2	pool_49	peptide_137
coverage_2	pool_50	peptide_9
coverage_2	pool_50	peptide_63
coverage_2	pool_50	peptide_77
coverage_2	pool_50	peptide_79
coverage_2	pool_50	peptide_130
coverage_2	pool_51	peptide_21
coverage_2	pool_51	peptide_26
coverage_2	pool_51	peptide_65
coverage_2	pool_51	peptide_83
coverage_2	pool_51	peptide_101
coverage_2	pool_52	peptide_15
coverage_2	pool_52	peptide_22
coverage_2	pool_52	peptide_48
coverage_2	pool_52	peptide_52
coverage_2	pool_52	peptide_139
coverage_2	pool_53	peptide_76
coverage_2	pool_53	peptide_114
coverage_2	pool_53	peptide_119
coverage_2	pool_53	peptide_135
coverage_2	pool_53	peptide_138
coverage_2	pool_54	peptide_7
coverage_2	pool_54	peptide_10
coverage_2	pool_54	peptide_69
coverage_2	pool_54	peptide_87
coverage_2	pool_54	peptide_105
coverage_2	pool_55	peptide_2
coverage_2	pool_55	peptide_39
coverage_2	pool_55	peptide_42
coverage_2	pool_55	peptide_126
coverage_2	pool_55	peptide_129
coverage_2	pool_56	peptide_8
coverage_2	pool_56	peptide_44
coverage_2	pool_56	peptide_60
coverage_2	pool_56	peptide_86
coverage_2	pool_56	peptide_110
coverage_3	pool_57	peptide_27
coverage_3	pool_57	peptide_45
coverage_3	pool_57	peptide_63
coverage_3	pool_57	peptide_85
coverage_3	pool_57	peptide_98
coverage_3	pool_58	peptide_31
coverage_3	pool_58	peptide_56
coverage_3	pool_58	peptide_71
coverage_3	pool_58	peptide_89
coverage_3	pool_58	peptide_103
coverage_3	pool_59	peptide_116
coverage_3	pool_59	peptide_119
coverage_3	pool_59	peptide_128
coverage_3	pool_59	peptide_129
coverage_3	pool_59	peptide_134
coverage_3	pool_60	peptide_28
coverage_3	pool_60	peptide_54
coverage_3	pool_60	peptide_68
coverage_3	pool_60	peptide_74
coverage_3	pool_60	peptide_88
coverage_3	pool_61	peptide_78
coverage_3	pool_61	peptide_94
coverage_3	pool_61	peptide_102
coverage_3	pool_61	peptide_120
coverage_3	pool_61	peptide_123
coverage_3	pool_62	peptide_16
coverage_3	pool_62	peptide_35
coverage_3	pool_62	peptide_57
coverage_3	pool_62	peptide_69
coverage_3	pool_62	peptide_139
coverage_3	pool_63	peptide_42
coverage_3	pool_63	peptide_58
coverage_3	pool_63	peptide_72
coverage_3	pool_63	peptide_83
coverage_3	pool_63	peptide_104
coverage_3	pool_64	peptide_1
coverage_3	pool_64	peptide_13
coverage_3	pool_64	peptide_22
coverage_3	pool_64	peptide_36
coverage_3	pool_64	peptide_84
coverage_3	pool_65	peptide_19
coverage_3	pool_65	peptide_25
coverage_3	pool_65	peptide_46
coverage_3	pool_65	peptide_53
coverage_3	pool_65	peptide_66
coverage_3	pool_66	peptide_14
coverage_3	pool_66	peptide_30
coverage_3	pool_66	peptide_79
coverage_3	pool_66	peptide_115
coverage_3	pool_66	peptide_131
coverage_3	pool_67	peptide_40
coverage_3	pool_67	peptide_44
coverage_3	pool_67	peptide_82
coverage_3	pool_67	peptide_92
coverage_3	pool_67	peptide_109
coverage_3	pool_68	peptide_8
coverage_3	pool_68	peptide_43
coverage_3	pool_68	peptide_48
coverage_3	pool_68	peptide_122
coverage_3	pool_68	peptide_132
coverage_3	pool_69	peptide_18
coverage_3	pool_69	peptide_21
coverage_3	pool_69	peptide_32
coverage_3	pool_69	peptide_59
coverage_3	pool_69	peptide_80
coverage_3	pool_70	peptide_4
coverage_3	pool_70	peptide_23
coverage_3	pool_70	peptide_64
coverage_3	pool_70	peptide_99
coverage_3	pool_70	peptide_118
coverage_3	pool_71	peptide_37
coverage_3	pool_71	peptide_49
coverage_3	pool_71	peptide_60
coverage_3	pool_71	peptide_87
coverage_3	pool_71	peptide_96
coverage_3	pool_72	peptide_24
coverage_3	pool_72	peptide_61
coverage_3	pool_72	peptide_101
coverage_3	pool_72	peptide_121
coverage_3	pool_72	peptide_140
coverage_3	pool_73	peptide_20
coverage_3	pool_73	peptide_26
coverage_3	pool_73	peptide_41
coverage_3	pool_73	peptide_106
coverage_3	pool_73	peptide_112
coverage_3	pool_74	peptide_33
coverage_3	pool_74	peptide_34
coverage_3	pool_74	peptide_107
coverage_3	pool_74	peptide_125
coverage_3	pool_74	peptide_137
coverage_3	pool_75	peptide_52
coverage_3	pool_75	peptide_77
coverage_3	pool_75	peptide_100
coverage_3	pool_75	peptide_110
coverage_3	pool_75	peptide_111
coverage_3	pool_76	peptide_12
coverage_3	pool_76	peptide_62
coverage_3	pool_76	peptide_81
coverage_3	pool_76	peptide_86
coverage_3	pool_76	peptide_130
coverage_3	pool_77	peptide_5
coverage_3	pool_77	peptide_47
coverage_3	pool_77	peptide_91
coverage_3	pool_77	peptide_114
coverage_3	pool_77	peptide_127
coverage_3	pool_78	peptide_3
coverage_3	pool_78	peptide_9
coverage_3	pool_78	peptide_11
coverage_3	pool_78	peptide_65
coverage_3	pool_78	peptide_135
coverage_3	pool_79	peptide_29
coverage_3	pool_79	peptide_73
coverage_3	pool_79	peptide_75
coverage_3	pool_79	peptide_93
coverage_3	pool_79	peptide_113
coverage_3	pool_80	peptide_50
coverage_3	pool_80	peptide_51
coverage_3	pool_80	peptide_76
coverage_3	pool_80	peptide_90
coverage_3	pool_80	peptide_97
coverage_3	pool_81	peptide_38
coverage_3	pool_81	peptide_70
coverage_3	pool_81	peptide_108
coverage_3	pool_81	peptide_126
coverage_3	pool_81	peptide_136
coverage_3	pool_82	peptide_6
coverage_3	pool_82	peptide_67
coverage_3	pool_82	peptide_95
coverage_3	pool_82	peptide_105
coverage_3	pool_82	peptide_138
coverage_3	pool_83	peptide_10
coverage_3	pool_83	peptide_15
coverage_3	pool_83	peptide_39
coverage_3	pool_83	peptide_117
coverage_3	pool_83	peptide_124
coverage_3	pool_84	peptide_2
coverage_3	pool_84	peptide_7
coverage_3	pool_84	peptide_17
coverage_3	pool_84	peptide_55
coverage_3	pool_84	peptide_133
